time,open,high,low,close,volume
2021-05-13 20:00:00,574.47,575.0,573.5,573.5,11050
2021-05-13 19:55:00,574.5,574.75,574.0,574.45,5949
2021-05-13 19:50:00,574.45,575.0,574.45,574.5,6267
2021-05-13 19:45:00,573.59,574.01,573.1,574.01,2610
2021-05-13 19:40:00,573.15,573.4,573.0,573.1,10917
2021-05-13 19:35:00,574.25,574.25,573.4,573.4,1676
2021-05-13 19:30:00,574.0,574.23,574.0,574.1,1747
2021-05-13 19:25:00,573.98,574.13,573.98,574.0,4100
2021-05-13 19:20:00,573.52,574.0,573.52,574.0,1596
2021-05-13 19:15:00,572.02,573.5,571.62,573.5,5658
2021-05-13 19:10:00,573.2,573.2,573.2,573.2,319
2021-05-13 19:05:00,573.32,573.32,573.1,573.1,1063
2021-05-13 19:00:00,574.07,574.48,573.75,573.75,2763
2021-05-13 18:55:00,574.0,574.34,574.0,574.07,3010
2021-05-13 18:50:00,573.53,574.0,573.53,574.0,1098
2021-05-13 18:45:00,573.11,573.5,573.11,573.45,2056
2021-05-13 18:40:00,573.0,573.0,572.0,572.26,3390
2021-05-13 18:35:00,574.0,574.0,573.5,573.5,2609
2021-05-13 18:30:00,573.75,573.75,573.57,573.57,608
2021-05-13 18:25:00,573.75,573.75,573.0,573.48,3649
2021-05-13 18:20:00,573.25,574.5,573.02,573.75,2891
2021-05-13 18:15:00,574.73,574.74,574.0,574.0,2728
2021-05-13 18:10:00,574.98,575.15,574.11,574.1101,5779
2021-05-13 18:05:00,574.98,575.6,574.75,575.4,5665
2021-05-13 18:00:00,573.8,574.75,573.8,574.15,9566
2021-05-13 17:55:00,573.99,574.25,573.57,574.2,4179
2021-05-13 17:50:00,573.7,574.5,573.06,574.18,9302
2021-05-13 17:45:00,572.3,573.88,571.5,573.88,8578
2021-05-13 17:40:00,571.75,572.3,571.75,572.3,2993
2021-05-13 17:35:00,570.12,572.55,570.12,572.5,4489
2021-05-13 17:30:00,571.5,571.5,570.75,571.0,2650
2021-05-13 17:25:00,570.48,571.0,570.48,571.0,7426
2021-05-13 17:20:00,570.06,570.75,570.06,570.75,1213
2021-05-13 17:15:00,570.5,571.69,570.5,570.5,20358
2021-05-13 17:10:00,570.75,570.75,570.0,570.43,2910
2021-05-13 17:05:00,569.65,570.31,569.5,570.31,1952
2021-05-13 17:00:00,570.68,570.8,569.55,569.59,9843
2021-05-13 16:55:00,570.72,570.75,570.01,570.26,5349
2021-05-13 16:50:00,571.2,571.3,570.6,570.72,7110
2021-05-13 16:45:00,570.85,571.3194,570.03,571.2,10712
2021-05-13 16:40:00,569.45,570.75,569.1,570.75,5270
2021-05-13 16:35:00,569.06,569.5,569.0,569.15,6241
2021-05-13 16:30:00,569.0,569.33,568.51,569.2,7069
2021-05-13 16:25:00,569.09,569.09,568.27,569.0,4634
2021-05-13 16:20:00,568.2,569.33,568.01,569.33,13604
2021-05-13 16:15:00,568.0,568.5,568.0,568.2,9306
2021-05-13 16:10:00,570.5,580.034,567.99,568.0,36437
2021-05-13 16:05:00,571.69,572.0,570.25,570.25,132795
2021-05-13 16:00:00,571.75,573.3,571.0,571.4,748695
2021-05-13 15:55:00,572.6,572.76,570.89,571.71,444070
2021-05-13 15:50:00,574.15,574.342,571.89,572.42,354344
2021-05-13 15:45:00,573.586,574.3,572.41,574.0339,368046
2021-05-13 15:40:00,571.64,574.0,571.32,573.6,363120
2021-05-13 15:35:00,568.98,573.3476,568.98,571.74,405571
2021-05-13 15:30:00,567.27,569.46,567.0101,569.125,316736
2021-05-13 15:25:00,566.44,567.8445,565.4,567.14,306431
2021-05-13 15:20:00,568.78,569.12,566.071,566.3,302032
2021-05-13 15:15:00,573.9,574.05,567.29,568.53,450424
2021-05-13 15:10:00,571.1233,575.029,571.1233,573.8271,351067
2021-05-13 15:05:00,571.0201,573.25,570.68,571.01,295927
2021-05-13 15:00:00,574.77,574.77,570.5001,570.9744,340711
2021-05-13 14:55:00,575.7399,576.7669,573.1601,574.6,425685
2021-05-13 14:50:00,575.65,576.0,572.74,575.6575,361076
2021-05-13 14:45:00,575.5,576.57,574.86,575.775,323531
2021-05-13 14:40:00,572.2,577.0,571.4101,575.4866,636000
2021-05-13 14:35:00,571.91,573.0,569.7001,572.18,315814
2021-05-13 14:30:00,572.03,573.0,570.29,572.0099,325792
2021-05-13 14:25:00,569.59,574.57,569.57,572.0951,445743
2021-05-13 14:20:00,572.505,572.83,569.11,569.58,415772
2021-05-13 14:15:00,571.55,573.5,571.19,572.2075,381226
2021-05-13 14:10:00,568.86,573.9899,568.28,571.614,578275
2021-05-13 14:05:00,563.87,569.5,563.67,568.8736,617301
2021-05-13 14:00:00,564.6,565.47,562.84,563.92,393490
2021-05-13 13:55:00,561.47,565.48,561.47,564.51,561430
2021-05-13 13:50:00,563.675,564.004,560.6343,561.295,380492
2021-05-13 13:45:00,562.65,563.89,560.88,563.759,455356
2021-05-13 13:40:00,562.0,563.17,559.65,562.505,774784
2021-05-13 13:35:00,565.66,566.7,561.79,562.0155,744580
2021-05-13 13:30:00,567.0,568.0541,565.6501,565.66,495379
2021-05-13 13:25:00,570.415,571.33,566.42,566.92,641693
2021-05-13 13:20:00,573.35,574.6199,570.14,570.5399,359907
2021-05-13 13:15:00,572.5,574.5,568.94,573.3095,460760
2021-05-13 13:10:00,573.35,573.849,570.51,572.86,398915
2021-05-13 13:05:00,571.02,573.5,569.71,573.26,485814
2021-05-13 13:00:00,573.3801,573.5599,570.51,570.97,420933
2021-05-13 12:55:00,576.93,577.3,572.35,573.3464,372363
2021-05-13 12:50:00,574.77,577.045,574.3601,576.82,274045
2021-05-13 12:45:00,576.88,577.31,573.73,574.62,336994
2021-05-13 12:40:00,578.505,579.56,576.1501,576.5742,282522
2021-05-13 12:35:00,575.8235,579.83,575.8235,578.42,448583
2021-05-13 12:30:00,574.15,576.2099,573.38,575.7999,273588
2021-05-13 12:25:00,576.696,577.98,573.8538,574.15,386753
2021-05-13 12:20:00,575.96,578.0,575.96,576.61,356897
2021-05-13 12:15:00,573.6937,577.4894,573.69,576.0,589712
2021-05-13 12:10:00,570.73,574.0,570.5,573.72,404609
2021-05-13 12:05:00,569.739,572.56,568.81,570.63,601906
2021-05-13 12:00:00,574.0,574.89,567.97,569.6,853875
2021-05-13 11:55:00,573.35,575.78,572.2794,573.98,498442
2021-05-13 11:50:00,571.9,574.23,570.57,573.4653,678307
2021-05-13 11:45:00,578.5,578.6399,571.201,571.89,701441
2021-05-13 11:40:00,577.41,578.99,576.28,578.66,481195
2021-05-13 11:35:00,573.7,577.65,573.7,577.41,686997
2021-05-13 11:30:00,577.26,578.28,572.7,574.27,1036289
2021-05-13 11:25:00,580.64,581.58,576.3816,577.26,747719
2021-05-13 11:20:00,580.78,581.63,579.11,580.8,754899
2021-05-13 11:15:00,582.08,583.4057,580.18,580.94,544658
2021-05-13 11:10:00,583.18,583.45,581.21,581.998,665799
2021-05-13 11:05:00,589.045,589.25,582.76,583.011,585303
2021-05-13 11:00:00,590.945,591.875,588.28,588.84,484017
2021-05-13 10:55:00,584.9,591.4,584.44,590.76,701783
2021-05-13 10:50:00,585.12,588.26,584.57,585.0374,538497
2021-05-13 10:45:00,589.4,589.87,584.6039,585.0335,635986
2021-05-13 10:40:00,591.1501,592.3512,586.1,589.26,696360
2021-05-13 10:35:00,591.0,592.75,589.11,591.37,514504
2021-05-13 10:30:00,595.18,595.59,588.47,590.86,656752
2021-05-13 10:25:00,592.69,595.6044,591.85,595.11,535154
2021-05-13 10:20:00,596.31,597.63,592.41,592.72,591719
2021-05-13 10:15:00,599.71,600.0,596.0408,596.155,635740
2021-05-13 10:10:00,599.73,602.25,598.4,599.73,734667
2021-05-13 10:05:00,597.47,601.88,597.3299,599.56,750167
2021-05-13 10:00:00,594.0,597.88,593.5,597.3637,679271
2021-05-13 09:55:00,588.375,595.52,588.35,594.09,853274
2021-05-13 09:50:00,594.3562,596.8,587.5,588.507,950506
2021-05-13 09:45:00,595.9699,597.6,593.19,594.26,803594
2021-05-13 09:40:00,598.8868,603.24,595.81,595.91,894649
2021-05-13 09:35:00,601.545,606.4599,598.73,598.99,1417119
2021-05-13 09:30:00,605.0,605.0,601.63,602.1,46285
2021-05-13 09:25:00,603.0,605.0,602.75,604.8,64760
2021-05-13 09:20:00,600.8,602.5,600.01,602.5,27425
2021-05-13 09:15:00,603.0,603.47,601.0,601.0,23577
2021-05-13 09:10:00,603.01,603.75,601.89,603.0,28073
2021-05-13 09:05:00,599.84,604.0,599.63,602.73,46818
2021-05-13 09:00:00,599.5,600.55,598.19,599.2,20741
2021-05-13 08:55:00,600.61,601.8,599.25,599.74,24659
2021-05-13 08:50:00,603.89,604.0,601.05,601.05,40778
2021-05-13 08:45:00,599.25,604.0,599.03,603.85,49358
2021-05-13 08:40:00,597.2001,600.93,597.2001,599.25,29184
2021-05-13 08:35:00,596.39,601.0,594.5,597.12,77876
2021-05-13 08:30:00,597.01,597.47,596.0,596.29,19014
2021-05-13 08:25:00,596.0,598.15,596.0,597.0,10958
2021-05-13 08:20:00,598.41,598.5,595.61,595.61,21758
2021-05-13 08:15:00,599.5,600.74,598.2001,599.35,25688
2021-05-13 08:10:00,597.4,599.5,597.4,599.16,24621
2021-05-13 08:05:00,595.5,602.0,580.0,597.05,83591
2021-05-13 08:00:00,594.99,597.98,594.75,595.25,22955
2021-05-13 07:55:00,596.35,596.36,594.0,595.21,30280
2021-05-13 07:50:00,599.78,600.25,596.25,596.36,24540
2021-05-13 07:45:00,599.0,601.0,598.5,599.12,49680
2021-05-13 07:40:00,601.13,601.99,598.0,599.0,49825
2021-05-13 07:35:00,595.25,602.22,595.0,601.12,97553
2021-05-13 07:30:00,595.0,595.75,593.58,595.75,30363
2021-05-13 07:25:00,592.91,596.6,591.89,594.64,44414
2021-05-13 07:20:00,588.88,592.59,586.93,592.5,37054
2021-05-13 07:15:00,583.39,588.11,582.98,588.0,29202
2021-05-13 07:10:00,581.22,583.0,581.0,583.0,13567
2021-05-13 07:05:00,582.51,582.51,580.0,580.99,33585
2021-05-13 07:00:00,582.99,583.0,582.94,582.99,2089
2021-05-13 06:55:00,581.11,581.26,581.0,581.24,2532
2021-05-13 06:50:00,581.2,581.2,581.0,581.0,2752
2021-05-13 06:45:00,581.45,581.45,580.55,580.55,1184
2021-05-13 06:40:00,581.2,581.45,581.2,581.45,1217
2021-05-13 06:35:00,581.2,581.3,581.2,581.3,748
2021-05-13 06:30:00,580.25,580.25,580.25,580.25,1014
2021-05-13 06:20:00,581.0,581.08,580.59,581.08,1527
2021-05-13 06:15:00,579.3,581.52,578.75,581.52,10107
2021-05-13 06:10:00,580.42,580.42,580.01,580.11,1995
2021-05-13 06:05:00,582.25,582.25,579.99,580.0,4960
2021-05-13 06:00:00,584.6,584.94,581.15,581.15,3551
2021-05-13 05:55:00,584.1,585.0,584.1,584.95,3997
2021-05-13 05:50:00,584.0,584.0,584.0,584.0,1873
2021-05-13 05:45:00,584.0,584.0,584.0,584.0,971
2021-05-13 05:40:00,582.23,583.5,582.0,583.5,2867
2021-05-13 05:35:00,583.42,585.9,583.16,584.23,5686
2021-05-13 05:30:00,582.49,583.11,582.39,582.39,6570
2021-05-13 05:25:00,579.3,581.88,579.3,581.5,3958
2021-05-13 05:20:00,578.0,578.75,578.0,578.75,2766
2021-05-13 05:15:00,579.27,579.5,579.0,579.0,3157
2021-05-13 05:10:00,580.8,580.86,578.44,579.95,7905
2021-05-13 05:05:00,575.87,580.25,575.87,580.25,6356
2021-05-13 05:00:00,574.02,576.5,574.02,576.0,6133
2021-05-13 04:55:00,574.01,574.05,573.75,574.02,6136
2021-05-13 04:50:00,574.15,574.49,573.75,574.0,7484
2021-05-13 04:45:00,573.0,574.0,572.94,574.0,5702
2021-05-13 04:40:00,573.94,574.42,573.03,573.81,8959
2021-05-13 04:35:00,572.8,574.74,571.6,573.99,10977
2021-05-13 04:30:00,575.01,575.11,572.25,573.0,7065
2021-05-13 04:25:00,575.0,576.46,575.0,576.0,4760
2021-05-13 04:20:00,573.0,576.0,573.0,575.0,9227
2021-05-13 04:15:00,573.53,574.0,571.96,572.39,14500
2021-05-13 04:10:00,576.94,578.01,573.61,573.61,13272
2021-05-13 04:05:00,581.0,581.0,577.16,577.26,19079
2021-05-12 20:00:00,582.53,582.85,582.3,582.5,17535
2021-05-12 19:55:00,583.4,583.6,582.2,583.0,15740
2021-05-12 19:50:00,584.04,584.04,583.2,583.21,11225
2021-05-12 19:45:00,583.99,584.51,583.99,584.49,10429
2021-05-12 19:40:00,584.01,584.01,583.5,584.0,6328
2021-05-12 19:35:00,584.6,584.6,583.5001,584.4,5860
2021-05-12 19:30:00,584.78,584.9,584.49,584.5,4314
2021-05-12 19:25:00,584.63,585.0,584.5001,584.85,4045
2021-05-12 19:20:00,584.5,584.5,584.5,584.5,2614
2021-05-12 19:15:00,585.2,585.6,584.7,584.7,5683
2021-05-12 19:10:00,584.0,585.0,584.0,585.0,7770
2021-05-12 19:05:00,583.3,583.85,583.2,583.85,6613
2021-05-12 19:00:00,583.5,583.5,583.2,583.4999,5198
2021-05-12 18:55:00,582.85,584.0,582.85,583.27,9120
2021-05-12 18:50:00,582.5,583.5,582.1,583.0,8744
2021-05-12 18:45:00,581.68,582.0,580.0,581.5001,48672
2021-05-12 18:40:00,583.53,583.6,581.82,581.98,22454
2021-05-12 18:35:00,585.0,585.0,583.5,583.5,8754
2021-05-12 18:30:00,585.27,585.3,585.1,585.1,1821
2021-05-12 18:25:00,585.72,585.72,585.0,585.12,8572
2021-05-12 18:20:00,585.1,585.17,583.9,585.1,33451
2021-05-12 18:15:00,586.62,586.62,585.0,585.13,13743
2021-05-12 18:10:00,587.21,587.48,587.0,587.0,2894
2021-05-12 18:05:00,587.0,588.49,586.93,587.5,12460
2021-05-12 18:00:00,587.0,587.0,586.6,586.7,3295
2021-05-12 17:55:00,586.5,587.49,586.5,586.99,3482
2021-05-12 17:50:00,587.21,587.21,586.5,586.52,3911
2021-05-12 17:45:00,587.6,587.7,587.0,587.0,3173
2021-05-12 17:40:00,587.5,588.0,587.24,588.0,7423
2021-05-12 17:35:00,587.49,587.7,587.1,587.5,4276
2021-05-12 17:30:00,586.62,589.89,586.6,587.4,58012
2021-05-12 17:25:00,586.99,587.1,586.7,586.93,7623
2021-05-12 17:20:00,586.68,586.68,586.48,586.6,4984
2021-05-12 17:15:00,586.3,587.22,586.3,587.0,10969
2021-05-12 17:10:00,585.95,586.66,585.9,586.66,6399
2021-05-12 17:05:00,585.25,589.89,585.0,585.95,25652
2021-05-12 17:00:00,586.4,586.71,585.7,585.7,7063
2021-05-12 16:55:00,586.0,587.0,585.53,586.72,10454
2021-05-12 16:50:00,585.21,586.69,585.0,586.4999,19393
2021-05-12 16:45:00,586.5,586.64,585.0,585.48,31915
2021-05-12 16:40:00,584.89,586.75,584.25,586.69,22430
2021-05-12 16:35:00,584.86,589.89,584.51,584.53,65200
2021-05-12 16:30:00,585.9,585.9,583.0,584.95,86228
2021-05-12 16:25:00,588.62,588.62,586.0,586.0,34321
2021-05-12 16:20:00,589.72,589.89,588.5,589.0,14935
2021-05-12 16:15:00,588.95,589.7,588.02,589.7,22379
2021-05-12 16:10:00,589.3,589.9,588.05,588.77,28402
2021-05-12 16:05:00,589.89,591.0,589.5,589.5,90685
2021-05-12 16:00:00,587.16,590.4868,586.765,589.8,884073
2021-05-12 15:55:00,591.67,591.67,586.809,587.168,963239
2021-05-12 15:50:00,591.5,594.11,591.14,591.8799,479298
2021-05-12 15:45:00,592.9,593.2936,590.61,591.7277,502117
2021-05-12 15:40:00,593.82,594.09,592.5,592.91,338078
2021-05-12 15:35:00,593.0,594.4,591.65,593.9023,421073
2021-05-12 15:30:00,591.205,594.8,591.1226,593.0,476413
2021-05-12 15:25:00,591.68,593.76,591.0,591.28,457280
2021-05-12 15:20:00,593.27,594.4,591.5,591.6803,504706
2021-05-12 15:15:00,595.845,595.845,592.822,593.1871,367112
2021-05-12 15:10:00,596.0465,596.3056,594.3335,595.835,443998
2021-05-12 15:05:00,597.8,598.75,595.26,595.97,469280
2021-05-12 15:00:00,601.98,602.1377,597.7117,597.7117,320894
2021-05-12 14:55:00,601.375,602.74,601.02,601.89,278615
2021-05-12 14:50:00,599.3025,601.84,598.75,601.31,212790
2021-05-12 14:45:00,599.99,600.74,599.23,599.37,218581
2021-05-12 14:40:00,600.89,601.7999,599.3101,599.9614,300844
2021-05-12 14:35:00,600.25,601.5,598.86,600.99,255246
2021-05-12 14:30:00,599.1225,600.8223,598.25,600.37,247796
